Scores,Time,Group,Subject
5.971435163732493,T0,Control,0
4.309024305293535,T0,Control,1
6.387162940307738,T0,Control,5
6.359588413717416,T0,Control,6
4.863476495582651,T0,Control,7
5.515696372114429,T0,Control,8
3.2573150458145945,T0,Control,9
6.650035724719818,T1,Control,0
6.4919460223426775,T1,Control,1
5.502118364683486,T1,Control,5
5.905453411570191,T1,Control,6
5.789091940980035,T1,Control,7
6.821158192129386,T1,Control,8
3.95309444677076,T1,Control,9
5.297353675370818,T2,Control,0
4.844030655861066,T2,Control,1
5.0306947152941,T2,Control,5
6.175554085122381,T2,Control,6
3.6829727734098032,T2,Control,7
5.316891459821001,T2,Control,8
6.558969187571151,T2,Control,9
5.102159771800008,T3,Control,0
5.837437653613972,T3,Control,1
5.3779084251523255,T3,Control,5
5.624712953768216,T3,Control,6
5.177205194391704,T3,Control,7
6.3416747129961415,T3,Control,8
7.890960515463033,T3,Control,9
5.776199587837237,T0,Therapy,10
5.133554069535044,T0,Therapy,11
5.7361419366840725,T0,Therapy,12
3.625022399309971,T0,Therapy,13
5.947792199748547,T0,Therapy,14
4.802843215560301,T0,Therapy,15
5.563205166738653,T0,Therapy,16
5.7182891913492195,T0,Therapy,17
6.455413982398135,T0,Therapy,18
6.5410087949313915,T1,Therapy,10
4.254189922955694,T1,Therapy,11
4.298026718499156,T1,Therapy,12
5.599081800051087,T1,Therapy,13
5.151757550813145,T1,Therapy,14
5.555380491630616,T1,Therapy,15
6.054020332199238,T1,Therapy,16
5.66448697472186,T1,Therapy,17
6.2657383060625955,T1,Therapy,18
4.725763666232685,T2,Therapy,10
5.6296551228958975,T2,Therapy,11
6.007968855216035,T2,Therapy,12
5.491501236894121,T2,Therapy,13
6.733800732555499,T2,Therapy,14
3.2995463661877045,T2,Therapy,15
7.730603620838799,T2,Therapy,16
4.5573687109772365,T2,Therapy,17
5.911883386777701,T2,Therapy,18
4.914564788236803,T3,Therapy,10
6.162059737162049,T3,Therapy,11
6.404228225462175,T3,Therapy,12
6.223507967893809,T3,Therapy,13
4.773745686469774,T3,Therapy,14
7.707842950778001,T3,Therapy,15
5.926962541870895,T3,Therapy,16
4.547340890749048,T3,Therapy,17
6.33197944580913,T3,Therapy,18
5.864392325050896,T0,Meditation,20
1.836483339375265,T0,Meditation,21
6.721105615470206,T0,Meditation,22
5.552630552204535,T0,Meditation,23
5.564529542932399,T0,Meditation,24
4.969904309123513,T0,Meditation,25
6.167368735752412,T0,Meditation,26
6.384919841909897,T0,Meditation,27
5.670835848826805,T0,Meditation,28
6.791986193446408,T0,Meditation,29
5.879842313008629,T1,Meditation,20
5.400035419303477,T1,Meditation,21
4.772149441318094,T1,Meditation,22
5.215281788739212,T1,Meditation,23
6.616593926547842,T1,Meditation,24
5.718052948173335,T1,Meditation,25
5.455233985745355,T1,Meditation,26
6.328288145297394,T1,Meditation,27
4.7310112165198674,T1,Meditation,28
5.288118690873185,T1,Meditation,29
6.591205359743063,T2,Meditation,20
6.866533696353573,T2,Meditation,21
6.803591759111203,T2,Meditation,22
6.5852956847818565,T2,Meditation,23
6.78428811274975,T2,Meditation,24
7.663481512426145,T2,Meditation,25
5.518894716374608,T2,Meditation,26
5.8319823336625145,T2,Meditation,27
7.524574355126174,T2,Meditation,28
5.0188917248559575,T2,Meditation,29
7.275475504274325,T3,Meditation,20
4.689284675970471,T3,Meditation,21
5.949234896863726,T3,Meditation,22
7.149163805919065,T3,Meditation,23
6.196067133898749,T3,Meditation,24
6.217824588334266,T3,Meditation,25
7.080656004381456,T3,Meditation,26
4.581501009608386,T3,Meditation,27
6.447071635325711,T3,Meditation,28
6.794844209327205,T3,Meditation,29
